20110101,小雨,5,-1,北风,4
20110102,阵雨,4,-2,北风,3
20110103,阴,5,1,北风,0
20110104,阴,7,1,北风,4
20110105,阴,4,1,北风,3
20110106,阴,5,0,北风,3
20110107,多云,6,-1,北风,3
20110108,雨夹雪,6,-1,北风,3
20110109,阴,6,-2,北风,3
20110110,雨夹雪,4,-2,北风,4
20110111,阴,6,1,北风,3
20110112,多云,8,0,南风,3
20110113,阴,6,-1,北风,3
20110114,多云,7,1,北风,3
20110115,阴,6,1,北风,0
20110116,小雨,6,0,北风,3
20110117,小雨,4,0,北风,3
20110118,小雨,4,0,北风,3
20110119,雨夹雪,4,-1,北风,3
20110120,小雪,5,-2,北风,3
20110121,多云,5,1,北风,3
20110122,阴,7,1,北风,3
20110123,阴,6,1,北风,3
20110124,多云,8,1,北风,3
20110125,阴,6,1,北风,3
20110126,阴,6,1,南风,3
20110127,小雨,5,2,北风,0
20110128,阴,7,0,北风,0
20110129,阴,6,0,北风,3
20110130,阴,7,0,北风,3
20110131,阴,8,2,南风,0
20110201,多云,9,1,南风,0
20110202,多云,10,2,南风,0
20110203,晴,11,3,南风,0
20110204,晴,13,4,南风,0
20110205,多云,15,3,南风,0
20110206,多云,15,3,南风,0
20110207,多云,16,5,南风,0
20110208,多云,16,6,南风,0
20110209,多云,15,6,南风,0
20110210,阴,13,6,北风,0
20110211,阴,11,6,北风,3
20110212,小雨,8,4,北风,3
20110213,阴,9,4,北风,0
20110214,阴,10,4,北风,0
20110215,小雨,6,3,北风,0
20110216,多云,10,5,北风,0
20110217,多云,12,5,北风,0
20110218,小雨,9,5,北风,0
20110219,阴,11,5,北风,3
20110220,阴,11,5,北风,3
20110221,多云,11,6,北风,3
20110222,阴,11,6,北风,3
20110223,晴,17,6,南风,3
20110224,多云,17,7,南风,3
20110225,阴,18,8,南风,3
20110226,阴,18,7,北风,3
20110227,多云,18,11,北风,3
20110228,阴,14,8,北风,3
20110301,阴,15,5,北风,3
20110302,多云,16,8,南风,3
20110303,多云,16,7,北风,3
20110304,阴,15,7,南风,3
20110305,阴,11,6,北风,3
20110306,多云,16,6,北风,3
20110307,阴,16,7,北风,3
20110308,多云,18,9,北风,3
20110309,小雨,13,8,北风,3
20110310,小雨,12,7,北风,3
20110311,阴,14,6,北风,3
20110312,多云,17,8,北风,3
20110313,阴,18,7,南风,3
20110314,阴,12,7,北风,4
20110315,多云,13,3,北风,3
20110316,多云,15,6,北风,3
20110317,多云,17,6,北风,3
20110318,多云,17,10,南风,3
20110319,阴,15,9,北风,3
20110320,阴,12,5,北风,4
20110321,小雨,8,4,北风,3
20110322,阴,9,3,北风,3
20110323,阴,9,3,北风,3
20110324,阴,9,5,北风,3
20110325,阴,12,5,北风,3
20110326,阴,15,6,北风,0
20110327,晴,15,5,北风,3
20110328,多云,18,8,北风,3
20110329,多云,19,9,南风,3
20110330,小雨,17,10,北风,3
20110331,阴,18,12,北风,3
20110401,阴,17,10,北风,3
20110402,小雨,15,12,北风,3
20110403,阴,18,10,北风,3
20110404,阴,15,10,北风,3
20110405,阴,16,10,北风,3
20110406,阴,17,12,北风,3
20110407,小雨,16,10,北风,3
20110408,阴,17,10,南风,3
20110409,多云,20,10,南风,3
20110410,多云,20,13,南风,3
20110411,多云,21,13,南风,3
20110412,多云,22,13,南风,3
20110413,多云,22,13,南风,3
20110414,多云,24,14,南风,3
20110415,多云,25,16,南风,3
20110416,阴,21,15,北风,3
20110417,多云,26,13,南风,3
20110418,多云,26,16,南风,3
20110419,多云,26,16,南风,3
20110420,阴,23,14,北风,3
